"municipality_id","municipality_name","year","income_index","population_thousands","anime_stage","redevelopment"
"M09","自治体09",2012,113.554,108.12,1,0
"M09","自治体09",2013,117.153,107.7,1,0
"M09","自治体09",2014,117.743,109.83,1,0
"M09","自治体09",2015,119.49,110.55,1,0
"M10","自治体10",2005,93.985,84.67,1,0
"M10","自治体10",2006,95.664,84.24,1,0
"M10","自治体10",2007,98.305,84.13,1,0
"M10","自治体10",2008,98.744,84.17,1,0
"M10","自治体10",2009,100.724,85.58,1,0
"M10","自治体10",2010,105.979,85.43,1,0
"M10","自治体10",2011,111.324,86.03,1,0
"M10","自治体10",2012,114.446,87.95,1,0
"M10","自治体10",2013,113.499,86.66,1,0
"M10","自治体10",2014,115.349,88.61,1,0
"M10","自治体10",2015,119.745,87.31,1,0
"M11","自治体11",2005,88.682,88.55,1,0
"M11","自治体11",2006,91.863,89.41,1,0
"M11","自治体11",2007,93.873,88.97,1,0
"M11","自治体11",2008,98.324,89.71,1,0
"M11","自治体11",2009,98.022,89.58,1,0
"M11","自治体11",2010,101.208,90.54,1,0
"M11","自治体11",2011,107.85,90.6,1,0
"M11","自治体11",2012,110.107,91.74,1,0
"M11","自治体11",2013,110.662,92.25,1,0
"M11","自治体11",2014,113.718,93.01,1,0
"M11","自治体11",2015,115.705,93.48,1,0
"M12","自治体12",2005,91.81,84.1,1,0
"M12","自治体12",2006,97.159,84.73,1,0
"M12","自治体12",2007,96.782,84.36,1,0
"M12","自治体12",2008,97.734,85.74,1,0
"M12","自治体12",2009,100.907,86.07,1,0
"M12","自治体12",2010,104.091,86.81,1,0
"M12","自治体12",2011,109.989,87.24,1,0
"M12","自治体12",2012,114.253,87.7,1,0
"M12","自治体12",2013,115.494,88.5,1,0
"M12","自治体12",2014,117.603,89.07,1,0
"M12","自治体12",2015,117.273,90.17,1,0
"M13","自治体13",2005,99.774,100.76,1,0
"M13","自治体13",2006,100.622,102.41,1,0
"M13","自治体13",2007,103.24,101.17,1,0
"M13","自治体13",2008,104.57,101.58,1,0
"M13","自治体13",2009,107.479,103.5,1,0
"M13","自治体13",2010,111.496,103.43,1,0
"M13","自治体13",2011,116.779,104.01,1,0
"M13","自治体13",2012,116.967,105.87,1,0
"M13","自治体13",2013,120.156,105.25,1,0
"M13","自治体13",2014,121.603,106.51,1,0
"M13","自治体13",2015,122.71,107.05,1,0
"M14","自治体14",2005,94.717,89.11,1,0
"M14","自治体14",2006,96.691,90.35,1,0
"M14","自治体14",2007,98.616,90.28,1,0
"M14","自治体14",2008,100.148,89.8,1,0
"M14","自治体14",2009,103.953,91.11,1,0
"M14","自治体14",2010,106.773,91.18,1,0
"M14","自治体14",2011,113.179,92.96,1,0
"M14","自治体14",2012,114.015,93.13,1,0
"M14","自治体14",2013,117.157,94.4,1,0
"M14","自治体14",2014,117.215,94.33,1,0
"M14","自治体14",2015,120.212,94.8,1,0
"M15","自治体15",2005,96.755,84.05,1,0
"M15","自治体15",2006,95.858,84.53,1,0
"M15","自治体15",2007,98.604,86.22,1,0
"M15","自治体15",2008,102.335,86,1,0
"M15","自治体15",2009,103.305,86.43,1,0
"M15","自治体15",2010,110.236,86.95,1,0
"M15","自治体15",2011,112.644,89.01,1,0
"M15","自治体15",2012,115.758,89.53,1,0
"M15","自治体15",2013,116.237,89.87,1,0
"M15","自治体15",2014,121.107,88.48,1,0
"M15","自治体15",2015,120.72,88.36,1,0
"M16","自治体16",2005,91.276,55.23,1,0
"M16","自治体16",2006,91.158,54.99,1,0
"M16","自治体16",2007,97.356,55.05,1,0
"M16","自治体16",2008,97.627,54.9,1,0
"M16","自治体16",2009,99.804,55.37,1,0
"M16","自治体16",2010,103.903,55.8,1,0
"M16","自治体16",2011,106.823,57.55,1,0
"M16","自治体16",2012,112.922,58.89,1,0
"M16","自治体16",2013,112.956,58.49,1,0
"M16","自治体16",2014,114.659,59.05,1,0
"M16","自治体16",2015,116.26,59.54,1,0
"M17","自治体17",2005,88.054,83.73,1,0
"M17","自治体17",2006,92.114,83.92,1,0
"M17","自治体17",2007,92.372,82.31,1,0
"M17","自治体17",2008,95.292,84.42,1,0
"M17","自治体17",2009,97.116,84.04,1,0
"M17","自治体17",2010,102.742,85.94,1,0
"M17","自治体17",2011,107.601,87.5,1,0
"M17","自治体17",2012,112.207,85.78,1,0
"M17","自治体17",2013,113.39,86.71,1,0
"M17","自治体17",2014,113.637,87.97,1,0
"M17","自治体17",2015,113.574,88.64,1,0
"M18","自治体18",2005,89.948,106.31,1,0
"M18","自治体18",2006,91.341,103.97,1,0
"M18","自治体18",2007,91.251,105.02,1,0
"M18","自治体18",2008,94.708,105.71,1,0
"M18","自治体18",2009,94.674,105.15,1,0
"M18","自治体18",2010,100.692,106.72,1,0
"M18","自治体18",2011,107.437,107.99,1,0
"M18","自治体18",2012,108.887,110.24,1,0
"M18","自治体18",2013,109.812,111.06,1,0
"M18","自治体18",2014,110.89,110.74,1,0
"M18","自治体18",2015,111.574,110.72,1,0
"M19","自治体19",2005,93.894,81.28,1,0
"M19","自治体19",2006,95.901,81.37,1,0
"M19","自治体19",2007,97.942,80.98,1,0
"M19","自治体19",2008,102.367,80.7,1,0
"M19","自治体19",2009,103.249,83.03,1,0
"M19","自治体19",2010,105.622,83.12,1,0
"M19","自治体19",2011,113.211,84.77,1,0
"M19","自治体19",2012,113.726,83.67,1,0
"M19","自治体19",2013,115.796,84.67,1,0
"M19","自治体19",2014,118.583,84.35,1,0
"M19","自治体19",2015,119.734,86.24,1,0
"M20","自治体20",2005,88.666,84.02,1,0
"M20","自治体20",2006,91.624,83.4,1,0
"M20","自治体20",2007,92.709,84.51,1,0
"M20","自治体20",2008,93.568,83.38,1,0
"M20","自治体20",2009,100.23,84.46,1,0
"M20","自治体20",2010,102.694,85.42,1,0
"M20","自治体20",2011,107.233,87.32,1,0
"M20","自治体20",2012,109.975,87.86,1,0
"M20","自治体20",2013,113.02,87.57,1,0
"M20","自治体20",2014,112.998,88.84,1,0
"M20","自治体20",2015,116.362,89.03,1,0
"M21","自治体21",2005,83.318,68.9,0,0
"M21","自治体21",2006,84.634,68.83,0,0
"M21","自治体21",2007,87.913,69.02,0,0
"M21","自治体21",2008,90.791,68.09,0,0
"M21","自治体21",2009,93.023,68.91,0,0
"M21","自治体21",2010,95.59,68.65,0,0
"M21","自治体21",2011,100.174,69.97,0,1
"M21","自治体21",2012,100.177,70.65,0,1
"M21","自治体21",2013,101.18,71.11,0,1
"M21","自治体21",2014,104.683,68.55,0,1
"M21","自治体21",2015,104.38,69.73,0,1
"M22","自治体22",2005,88.717,75.79,0,0
"M22","自治体22",2006,92.064,76.09,0,0
"M22","自治体22",2007,93.017,76.53,0,0
"M22","自治体22",2008,94.176,76.9,0,0
"M22","自治体22",2009,96.463,75.56,0,0
"M22","自治体22",2010,99.603,78.49,0,0
"M22","自治体22",2011,102.601,77.91,0,1
"M22","自治体22",2012,105.18,77.58,0,1
"M22","自治体22",2013,106.634,77.1,0,1
"M22","自治体22",2014,108.114,77.58,0,1
"M22","自治体22",2015,108.184,77.97,0,1
"M23","自治体23",2005,90.214,76.68,0,0
"M23","自治体23",2006,91.323,76.79,0,0
"M23","自治体23",2007,93.504,75.3,0,0
"M23","自治体23",2008,96.281,76.5,0,0
"M23","自治体23",2009,98.498,75.93,0,0
"M23","自治体23",2010,99.686,75.51,0,0
"M23","自治体23",2011,102.334,76.34,0,1
"M23","自治体23",2012,104.683,77.42,0,1
"M23","自治体23",2013,106.403,76.93,0,1
"M23","自治体23",2014,107.356,77.33,0,1
"M23","自治体23",2015,110.383,77.88,0,1
"M24","自治体24",2005,88.799,62.04,0,0
"M24","自治体24",2006,89.868,61.92,0,0
"M24","自治体24",2007,92.488,61.82,0,0
"M24","自治体24",2008,95.937,62.46,0,0
"M24","自治体24",2009,95.191,61.5,0,0
"M24","自治体24",2010,99.38,60.89,0,0
"M24","自治体24",2011,103.718,62.05,0,1
"M24","自治体24",2012,106.583,61.48,0,1
"M24","自治体24",2013,108.37,63.18,0,1
"M24","自治体24",2014,107.345,63.71,0,1
"M24","自治体24",2015,110.688,63.36,0,1
"M25","自治体25",2005,86.058,81.9,0,0
"M25","自治体25",2006,85.867,81.52,0,0
"M25","自治体25",2007,88.536,80.99,0,0
"M25","自治体25",2008,92.304,83.21,0,0
"M25","自治体25",2009,93.879,82.33,0,0
"M25","自治体25",2010,95.424,84.14,0,0
"M25","自治体25",2011,97.459,84.98,0,0
"M25","自治体25",2012,101.009,83.25,0,0
"M25","自治体25",2013,101.882,84.65,0,0
"M25","自治体25",2014,101.813,82.93,0,0
"M25","自治体25",2015,105.699,84.87,0,0
"M26","自治体26",2005,83.085,80.35,0,0
"M26","自治体26",2006,86.832,81.38,0,0
"M26","自治体26",2007,84.854,80.28,0,0
"M26","自治体26",2008,88.934,80.08,0,0
"M26","自治体26",2009,91.052,81.44,0,0
"M26","自治体26",2010,93.79,81.99,0,0
"M26","自治体26",2011,96.763,82.16,0,0
"M26","自治体26",2012,96.704,82.07,0,0
"M26","自治体26",2013,99.303,82.2,0,0
"M26","自治体26",2014,99.851,83.09,0,0
"M26","自治体26",2015,101.563,83.2,0,0
"M27","自治体27",2005,80.404,98.13,0,0
"M27","自治体27",2006,82.886,98.39,0,0
"M27","自治体27",2007,84.172,98.18,0,0
"M27","自治体27",2008,84.592,98.83,0,0
"M27","自治体27",2009,87.465,99.23,0,0
"M27","自治体27",2010,90.289,98.76,0,0
"M27","自治体27",2011,91.802,100.8,0,0
"M27","自治体27",2012,93.861,100.3,0,0
"M27","自治体27",2013,96.248,101.58,0,0
"M27","自治体27",2014,99.371,101.12,0,0
"M27","自治体27",2015,98.533,101.02,0,0
"M28","自治体28",2005,85.09,66.92,0,0
"M28","自治体28",2006,88.293,67.12,0,0
"M28","自治体28",2007,90.21,66.11,0,0
"M28","自治体28",2008,92.446,67.35,0,0
"M28","自治体28",2009,94.817,68.36,0,0
"M28","自治体28",2010,96.835,69.13,0,0
"M28","自治体28",2011,98.644,68.03,0,0
"M28","自治体28",2012,100.814,68.89,0,0
"M28","自治体28",2013,101.746,68.85,0,0
"M28","自治体28",2014,103.493,69.86,0,0
"M28","自治体28",2015,103.869,68.68,0,0
"M29","自治体29",2005,87.847,91.04,0,0
"M29","自治体29",2006,89.85,91.36,0,0
"M29","自治体29",2007,92.471,91.68,0,0
"M29","自治体29",2008,93.339,92.66,0,0
"M29","自治体29",2009,97.881,92.85,0,0
"M29","自治体29",2010,100.954,91.81,0,0
"M29","自治体29",2011,102.184,94.34,0,0
"M29","自治体29",2012,104.675,91.82,0,0
"M29","自治体29",2013,103.865,93.58,0,0
"M29","自治体29",2014,106.927,94.13,0,0
"M29","自治体29",2015,107.829,92.23,0,0
"M30","自治体30",2005,91.468,80.5,0,0
"M30","自治体30",2006,95.873,80.21,0,0
"M30","自治体30",2007,93.818,79.07,0,0
"M30","自治体30",2008,97.211,79.93,0,0
"M30","自治体30",2009,100.654,80.26,0,0
"M30","自治体30",2010,103.51,81.69,0,0
"M30","自治体30",2011,106.252,80.55,0,0
"M30","自治体30",2012,105.829,80.89,0,0
"M30","自治体30",2013,106.584,81.14,0,0
"M30","自治体30",2014,107.797,81.91,0,0
"M30","自治体30",2015,111.188,80.69,0,0
"M31","自治体31",2005,82.216,84.46,0,0
"M31","自治体31",2006,85.528,85.05,0,0
"M31","自治体31",2007,88.387,85.96,0,0
"M31","自治体31",2008,88.73,83.29,0,0
"M31","自治体31",2009,92.988,85.16,0,0
"M31","自治体31",2010,91.597,86.19,0,0
"M31","自治体31",2011,99.292,86.12,0,0
"M31","自治体31",2012,97.041,86.32,0,0
"M31","自治体31",2013,101.703,86.23,0,0
"M31","自治体31",2014,101.558,87.82,0,0
"M31","自治体31",2015,103.273,88.03,0,0
"M32","自治体32",2005,86.134,87.1,0,0
"M32","自治体32",2006,85.322,87.72,0,0
"M32","自治体32",2007,91.082,88.5,0,0
"M32","自治体32",2008,91.673,88.72,0,0
"M32","自治体32",2009,94.681,87.91,0,0
"M32","自治体32",2010,96.642,89.47,0,0
"M32","自治体32",2011,98.809,89.7,0,0
"M32","自治体32",2012,100.589,90.16,0,0
"M32","自治体32",2013,103.485,89.84,0,0
"M32","自治体32",2014,102.54,90.55,0,0
"M32","自治体32",2015,105.054,90.5,0,0
"M33","自治体33",2005,89.899,95.79,0,0
"M33","自治体33",2006,91.957,94.75,0,0
"M33","自治体33",2007,93.328,96.3,0,0
"M33","自治体33",2008,96.282,96.21,0,0
"M33","自治体33",2009,99.559,96.27,0,0
"M33","自治体33",2010,99.991,96.38,0,0
"M33","自治体33",2011,101.577,96.41,0,0
"M33","自治体33",2012,103.616,97.6,0,0
"M33","自治体33",2013,104.365,96.37,0,0
"M33","自治体33",2014,107.651,98.8,0,0
"M33","自治体33",2015,109.619,98.04,0,0
"M34","自治体34",2005,86.174,84.87,0,0
"M34","自治体34",2006,87.724,85.56,0,0
"M34","自治体34",2007,91.36,86.52,0,0
"M34","自治体34",2008,93.641,85.81,0,0
"M34","自治体34",2009,94.718,86.05,0,0
"M34","自治体34",2010,96.833,86.24,0,0
"M34","自治体34",2011,99.332,86.52,0,0
"M34","自治体34",2012,99.298,87.19,0,0
"M34","自治体34",2013,102.661,86.24,0,0
"M34","自治体34",2014,103.822,87.56,0,0
"M34","自治体34",2015,104.57,86.63,0,0
"M35","自治体35",2005,87.584,74.7,0,0
"M35","自治体35",2006,88.08,73.9,0,0
"M35","自治体35",2007,90.765,74.41,0,0
"M35","自治体35",2008,93.024,74.36,0,0
"M35","自治体35",2009,97.023,73.79,0,0
"M35","自治体35",2010,98.572,75.86,0,0
"M35","自治体35",2011,102.17,74.66,0,0
"M35","自治体35",2012,103.265,76.39,0,0
"M35","自治体35",2013,105.697,76.31,0,0
"M35","自治体35",2014,108.106,75.52,0,0
"M35","自治体35",2015,106.298,75.99,0,0
"M36","自治体36",2005,85.589,67.37,0,0
"M36","自治体36",2006,87.775,69.2,0,0
"M36","自治体36",2007,89.555,67.08,0,0
"M36","自治体36",2008,91.251,66.63,0,0
"M36","自治体36",2009,93.419,67.81,0,0
"M36","自治体36",2010,96.925,68.82,0,0
"M36","自治体36",2011,100.17,67.86,0,0
"M36","自治体36",2012,103.027,68.41,0,0
"M36","自治体36",2013,105.98,69.15,0,0
"M36","自治体36",2014,105.117,69.53,0,0
"M36","自治体36",2015,103.642,69.01,0,0
"M37","自治体37",2005,90.437,76.04,0,0
"M37","自治体37",2006,88.906,76.6,0,0
"M37","自治体37",2007,92.429,76.41,0,0
"M37","自治体37",2008,93.594,77.74,0,0
"M37","自治体37",2009,96.103,77.3,0,0
"M37","自治体37",2010,96.926,77.67,0,0
"M37","自治体37",2011,99.486,76.13,0,0
"M37","自治体37",2012,103.43,77.86,0,0
"M37","自治体37",2013,103.963,77.98,0,0
"M37","自治体37",2014,105.095,79.54,0,0
"M37","自治体37",2015,106.546,77.76,0,0
"M38","自治体38",2005,89.934,79.74,0,0
"M38","自治体38",2006,92.428,80.13,0,0
"M38","自治体38",2007,92.456,78.63,0,0
"M38","自治体38",2008,94.559,80.07,0,0
"M38","自治体38",2009,95.685,81.41,0,0
"M38","自治体38",2010,96.049,80.03,0,0
"M38","自治体38",2011,100.277,81.83,0,0
"M38","自治体38",2012,101.455,81.34,0,0
"M38","自治体38",2013,105.297,81.21,0,0
"M38","自治体38",2014,105.276,80.7,0,0
"M38","自治体38",2015,107.171,81.48,0,0
"M39","自治体39",2005,85.713,75.55,0,0
"M39","自治体39",2006,88.116,77.93,0,0
"M39","自治体39",2007,88.06,77.06,0,0
"M39","自治体39",2008,90.566,78.35,0,0
"M39","自治体39",2009,92.776,76.4,0,0
"M39","自治体39",2010,96.531,77.47,0,0
"M39","自治体39",2011,96.511,77.44,0,0
"M39","自治体39",2012,100.844,78.12,0,0
"M39","自治体39",2013,102.531,78.17,0,0
"M39","自治体39",2014,99.356,78.78,0,0
"M39","自治体39",2015,101.399,78.68,0,0
"M40","自治体40",2005,90.737,74.86,0,0
"M40","自治体40",2006,91.636,75.4,0,0
"M40","自治体40",2007,92.94,76.1,0,0
"M40","自治体40",2008,96.333,75.41,0,0
"M40","自治体40",2009,96.21,75.93,0,0
"M40","自治体40",2010,99.252,76.42,0,0
"M40","自治体40",2011,100.589,75.64,0,0
"M40","自治体40",2012,103.602,76.1,0,0
"M40","自治体40",2013,104.295,76.78,0,0
"M40","自治体40",2014,107.005,76.76,0,0
"M40","自治体40",2015,109.688,76.61,0,0
"M41","自治体41",2005,88.667,90.22,0,0
"M41","自治体41",2006,88.008,90.28,0,0
"M41","自治体41",2007,90.3,90.91,0,0
"M41","自治体41",2008,92.342,91.12,0,0
"M41","自治体41",2009,94.672,92.23,0,0
"M41","自治体41",2010,97.01,91.4,0,0
"M41","自治体41",2011,101.037,92.3,0,1
"M41","自治体41",2012,104.935,92.11,0,1
"M41","自治体41",2013,105.609,93.62,0,1
"M41","自治体41",2014,106.967,93.33,0,1
"M41","自治体41",2015,107.52,92.75,0,1
"M42","自治体42",2005,89.757,96.67,0,0
"M42","自治体42",2006,90.388,97.15,0,0
"M42","自治体42",2007,91.475,97.63,0,0
"M42","自治体42",2008,93.508,97.7,0,0
"M42","自治体42",2009,95.294,97.51,0,0
"M42","自治体42",2010,97.642,98.1,0,0
"M42","自治体42",2011,103.295,98.4,0,1
"M42","自治体42",2012,102.824,99.05,0,1
"M42","自治体42",2013,105.684,99.54,0,1
"M42","自治体42",2014,107.269,100.32,0,1
"M42","自治体42",2015,107.286,98.43,0,1
"M43","自治体43",2005,87.851,84.47,0,0
"M43","自治体43",2006,90.845,85.36,0,0
"M43","自治体43",2007,89.241,85.67,0,0
"M43","自治体43",2008,93.032,84.17,0,0
"M43","自治体43",2009,95.82,84.59,0,0
"M43","自治体43",2010,97.129,84.82,0,0
"M43","自治体43",2011,101.014,86.83,0,1
"M43","自治体43",2012,103.509,86.87,0,1
"M43","自治体43",2013,104.173,87.26,0,1
"M43","自治体43",2014,106.192,87.5,0,1
"M43","自治体43",2015,106.728,86.34,0,1
"M44","自治体44",2005,84.707,97.18,0,0
"M44","自治体44",2006,87.154,98.76,0,0
"M44","自治体44",2007,90.316,100,0,0
"M44","自治体44",2008,92.927,98.71,0,0
"M44","自治体44",2009,95.138,98.92,0,0
"M44","自治体44",2010,97.139,98.87,0,0
"M44","自治体44",2011,99.974,99.81,0,1
"M44","自治体44",2012,101.772,99.11,0,1
"M44","自治体44",2013,103.772,99.52,0,1
"M44","自治体44",2014,106.602,99.09,0,1
"M44","自治体44",2015,105.565,101.12,0,1
"M45","自治体45",2005,82.017,79.01,0,0
"M45","自治体45",2006,85.02,79.44,0,0
"M45","自治体45",2007,86.483,80.03,0,0
"M45","自治体45",2008,90.441,80.21,0,0
"M45","自治体45",2009,90.098,80.13,0,0
"M45","自治体45",2010,93.275,81.44,0,0
"M45","自治体45",2011,97.448,80.7,0,0
"M45","自治体45",2012,98.421,80.95,0,0
"M45","自治体45",2013,97.475,81.13,0,0
"M45","自治体45",2014,99.592,81.66,0,0
"M45","自治体45",2015,100.527,81.69,0,0
"M46","自治体46",2005,85.515,77.16,0,0
"M46","自治体46",2006,88.114,76.74,0,0
"M46","自治体46",2007,88.919,74.84,0,0
"M46","自治体46",2008,92.889,76.34,0,0
"M46","自治体46",2009,94.782,77.13,0,0
"M46","自治体46",2010,95.945,77.29,0,0
"M46","自治体46",2011,100.897,77.94,0,0
"M46","自治体46",2012,101.861,76.62,0,0
"M46","自治体46",2013,103.482,78.8,0,0
"M46","自治体46",2014,103.232,77.34,0,0
"M46","自治体46",2015,103.952,77.26,0,0
"M47","自治体47",2005,90.397,74.36,0,0
"M47","自治体47",2006,93.212,72.82,0,0
"M47","自治体47",2007,96.974,72.85,0,0
"M47","自治体47",2008,97.762,75.42,0,0
"M47","自治体47",2009,99.769,74.6,0,0
"M47","自治体47",2010,101.57,74.56,0,0
"M47","自治体47",2011,102.565,74.74,0,0
"M47","自治体47",2012,105.604,75.38,0,0
"M47","自治体47",2013,106.62,75.17,0,0
"M47","自治体47",2014,108.371,75.45,0,0
"M47","自治体47",2015,109.304,76.48,0,0
"M48","自治体48",2005,85.318,79.63,0,0
"M48","自治体48",2006,87.551,79.21,0,0
"M48","自治体48",2007,90.149,79.8,0,0
"M48","自治体48",2008,93.92,79.74,0,0
"M48","自治体48",2009,96.269,79.74,0,0
"M48","自治体48",2010,99.034,80.82,0,0
"M48","自治体48",2011,98.564,80.93,0,0
"M48","自治体48",2012,102.584,79.58,0,0
"M48","自治体48",2013,103.649,80.66,0,0
"M48","自治体48",2014,106.054,81.91,0,0
"M48","自治体48",2015,107.558,82.07,0,0
"M49","自治体49",2005,88.313,79.37,0,0
"M49","自治体49",2006,89.21,81.46,0,0
"M49","自治体49",2007,90.187,78.83,0,0
"M49","自治体49",2008,95.2,79.93,0,0
"M49","自治体49",2009,94.163,79.39,0,0
"M49","自治体49",2010,93.794,80.81,0,0
"M49","自治体49",2011,100.177,80.44,0,0
"M49","自治体49",2012,101.547,81.07,0,0
"M49","自治体49",2013,103.263,80.62,0,0
"M49","自治体49",2014,105.532,81.82,0,0
"M49","自治体49",2015,105.197,81.66,0,0
"M50","自治体50",2005,90.154,90.86,0,0
"M50","自治体50",2006,89.731,90.95,0,0
"M50","自治体50",2007,92.263,91.51,0,0
"M50","自治体50",2008,92.627,91.46,0,0
"M50","自治体50",2009,97.998,92.42,0,0
"M50","自治体50",2010,98.706,91.95,0,0
"M50","自治体50",2011,101.85,92.99,0,0
"M50","自治体50",2012,103.139,93.04,0,0
"M50","自治体50",2013,103.627,92.85,0,0
"M50","自治体50",2014,106.542,92.88,0,0
"M50","自治体50",2015,107.508,93.26,0,0
"M51","自治体51",2005,85.785,65.14,0,0
"M51","自治体51",2006,85.738,65.82,0,0
"M51","自治体51",2007,89.193,66.57,0,0
"M51","自治体51",2008,90.832,66.64,0,0
"M51","自治体51",2009,92.902,67.36,0,0
"M51","自治体51",2010,97.23,66.32,0,0
"M51","自治体51",2011,98.505,66.36,0,0
"M51","自治体51",2012,101.109,66.99,0,0
"M51","自治体51",2013,101.541,67.45,0,0
"M51","自治体51",2014,102.609,68.62,0,0
"M51","自治体51",2015,104.67,68.64,0,0
"M52","自治体52",2005,83.184,80.88,0,0
"M52","自治体52",2006,87.946,79.46,0,0
"M52","自治体52",2007,90.637,78.93,0,0
"M52","自治体52",2008,89.872,79.2,0,0
"M52","自治体52",2009,92.92,78.86,0,0
"M52","自治体52",2010,94.742,79.26,0,0
"M52","自治体52",2011,95.956,80.38,0,0
"M52","自治体52",2012,98.911,80.56,0,0
"M52","自治体52",2013,101.994,81.1,0,0
"M52","自治体52",2014,103.141,80,0,0
"M52","自治体52",2015,102.726,81.73,0,0
"M53","自治体53",2005,89.647,70.37,0,0
"M53","自治体53",2006,89.644,71.96,0,0
"M53","自治体53",2007,91.685,72.41,0,0
"M53","自治体53",2008,95.505,71.45,0,0
"M53","自治体53",2009,97.056,71.65,0,0
"M53","自治体53",2010,100.243,72.46,0,0
"M53","自治体53",2011,102.797,72.8,0,0
"M53","自治体53",2012,105.479,72.13,0,0
