"block_id","period","month_index","year","month","car_thefts","water_leak_reports","protected_facility","adjacent_block","distance_band","commercial_area"
"B004","1994-05",5,1994,5,3,2,1,0,"facility",1
"B004","1994-06",6,1994,6,5,3,1,0,"facility",1
"B004","1994-07",7,1994,7,1,1,1,0,"facility",1
"B004","1994-08",8,1994,8,5,2,1,0,"facility",1
"B004","1994-09",9,1994,9,1,0,1,0,"facility",1
"B004","1994-10",10,1994,10,2,2,1,0,"facility",1
"B004","1994-11",11,1994,11,0,1,1,0,"facility",1
"B004","1994-12",12,1994,12,1,0,1,0,"facility",1
"B004","1995-01",13,1995,1,1,2,1,0,"facility",1
"B004","1995-02",14,1995,2,2,1,1,0,"facility",1
"B004","1995-03",15,1995,3,1,1,1,0,"facility",1
"B004","1995-04",16,1995,4,3,2,1,0,"facility",1
"B004","1995-05",17,1995,5,0,2,1,0,"facility",1
"B004","1995-06",18,1995,6,0,4,1,0,"facility",1
"B005","1994-01",1,1994,1,2,6,1,0,"facility",1
"B005","1994-02",2,1994,2,4,1,1,0,"facility",1
"B005","1994-03",3,1994,3,3,1,1,0,"facility",1
"B005","1994-04",4,1994,4,5,0,1,0,"facility",1
"B005","1994-05",5,1994,5,4,0,1,0,"facility",1
"B005","1994-06",6,1994,6,2,1,1,0,"facility",1
"B005","1994-07",7,1994,7,6,2,1,0,"facility",1
"B005","1994-08",8,1994,8,2,2,1,0,"facility",1
"B005","1994-09",9,1994,9,4,3,1,0,"facility",1
"B005","1994-10",10,1994,10,4,1,1,0,"facility",1
"B005","1994-11",11,1994,11,6,1,1,0,"facility",1
"B005","1994-12",12,1994,12,1,0,1,0,"facility",1
"B005","1995-01",13,1995,1,0,1,1,0,"facility",1
"B005","1995-02",14,1995,2,2,1,1,0,"facility",1
"B005","1995-03",15,1995,3,5,0,1,0,"facility",1
"B005","1995-04",16,1995,4,2,2,1,0,"facility",1
"B005","1995-05",17,1995,5,2,2,1,0,"facility",1
"B005","1995-06",18,1995,6,8,1,1,0,"facility",1
"B006","1994-01",1,1994,1,4,2,1,0,"facility",0
"B006","1994-02",2,1994,2,4,2,1,0,"facility",0
"B006","1994-03",3,1994,3,2,0,1,0,"facility",0
"B006","1994-04",4,1994,4,0,0,1,0,"facility",0
"B006","1994-05",5,1994,5,5,3,1,0,"facility",0
"B006","1994-06",6,1994,6,2,0,1,0,"facility",0
"B006","1994-07",7,1994,7,1,0,1,0,"facility",0
"B006","1994-08",8,1994,8,2,1,1,0,"facility",0
"B006","1994-09",9,1994,9,1,1,1,0,"facility",0
"B006","1994-10",10,1994,10,0,2,1,0,"facility",0
"B006","1994-11",11,1994,11,1,4,1,0,"facility",0
"B006","1994-12",12,1994,12,2,0,1,0,"facility",0
"B006","1995-01",13,1995,1,2,1,1,0,"facility",0
"B006","1995-02",14,1995,2,4,3,1,0,"facility",0
"B006","1995-03",15,1995,3,2,2,1,0,"facility",0
"B006","1995-04",16,1995,4,2,1,1,0,"facility",0
"B006","1995-05",17,1995,5,1,2,1,0,"facility",0
"B006","1995-06",18,1995,6,3,1,1,0,"facility",0
"B007","1994-01",1,1994,1,5,2,1,0,"facility",1
"B007","1994-02",2,1994,2,2,4,1,0,"facility",1
"B007","1994-03",3,1994,3,1,2,1,0,"facility",1
"B007","1994-04",4,1994,4,3,1,1,0,"facility",1
"B007","1994-05",5,1994,5,3,1,1,0,"facility",1
"B007","1994-06",6,1994,6,1,1,1,0,"facility",1
"B007","1994-07",7,1994,7,6,1,1,0,"facility",1
"B007","1994-08",8,1994,8,3,6,1,0,"facility",1
"B007","1994-09",9,1994,9,0,1,1,0,"facility",1
"B007","1994-10",10,1994,10,0,1,1,0,"facility",1
"B007","1994-11",11,1994,11,0,2,1,0,"facility",1
"B007","1994-12",12,1994,12,0,5,1,0,"facility",1
"B007","1995-01",13,1995,1,1,3,1,0,"facility",1
"B007","1995-02",14,1995,2,1,2,1,0,"facility",1
"B007","1995-03",15,1995,3,3,4,1,0,"facility",1
"B007","1995-04",16,1995,4,2,1,1,0,"facility",1
"B007","1995-05",17,1995,5,0,4,1,0,"facility",1
"B007","1995-06",18,1995,6,2,3,1,0,"facility",1
"B008","1994-01",1,1994,1,6,0,1,0,"facility",1
"B008","1994-02",2,1994,2,2,2,1,0,"facility",1
"B008","1994-03",3,1994,3,2,1,1,0,"facility",1
"B008","1994-04",4,1994,4,4,2,1,0,"facility",1
"B008","1994-05",5,1994,5,2,1,1,0,"facility",1
"B008","1994-06",6,1994,6,4,1,1,0,"facility",1
"B008","1994-07",7,1994,7,6,0,1,0,"facility",1
"B008","1994-08",8,1994,8,1,0,1,0,"facility",1
"B008","1994-09",9,1994,9,2,2,1,0,"facility",1
"B008","1994-10",10,1994,10,3,2,1,0,"facility",1
"B008","1994-11",11,1994,11,2,0,1,0,"facility",1
"B008","1994-12",12,1994,12,2,1,1,0,"facility",1
"B008","1995-01",13,1995,1,2,0,1,0,"facility",1
"B008","1995-02",14,1995,2,2,0,1,0,"facility",1
"B008","1995-03",15,1995,3,3,3,1,0,"facility",1
"B008","1995-04",16,1995,4,1,1,1,0,"facility",1
"B008","1995-05",17,1995,5,1,1,1,0,"facility",1
"B008","1995-06",18,1995,6,2,2,1,0,"facility",1
"B009","1994-01",1,1994,1,5,1,1,0,"facility",1
"B009","1994-02",2,1994,2,1,4,1,0,"facility",1
"B009","1994-03",3,1994,3,4,2,1,0,"facility",1
"B009","1994-04",4,1994,4,3,3,1,0,"facility",1
"B009","1994-05",5,1994,5,2,3,1,0,"facility",1
"B009","1994-06",6,1994,6,3,0,1,0,"facility",1
"B009","1994-07",7,1994,7,4,0,1,0,"facility",1
"B009","1994-08",8,1994,8,2,4,1,0,"facility",1
"B009","1994-09",9,1994,9,1,1,1,0,"facility",1
"B009","1994-10",10,1994,10,2,3,1,0,"facility",1
"B009","1994-11",11,1994,11,3,1,1,0,"facility",1
"B009","1994-12",12,1994,12,4,1,1,0,"facility",1
"B009","1995-01",13,1995,1,3,3,1,0,"facility",1
"B009","1995-02",14,1995,2,0,0,1,0,"facility",1
"B009","1995-03",15,1995,3,7,3,1,0,"facility",1
"B009","1995-04",16,1995,4,2,0,1,0,"facility",1
"B009","1995-05",17,1995,5,1,1,1,0,"facility",1
"B009","1995-06",18,1995,6,4,4,1,0,"facility",1
"B010","1994-01",1,1994,1,2,4,1,0,"facility",1
"B010","1994-02",2,1994,2,1,3,1,0,"facility",1
"B010","1994-03",3,1994,3,5,3,1,0,"facility",1
"B010","1994-04",4,1994,4,4,4,1,0,"facility",1
"B010","1994-05",5,1994,5,4,0,1,0,"facility",1
"B010","1994-06",6,1994,6,3,1,1,0,"facility",1
"B010","1994-07",7,1994,7,0,1,1,0,"facility",1
"B010","1994-08",8,1994,8,1,1,1,0,"facility",1
"B010","1994-09",9,1994,9,4,4,1,0,"facility",1
"B010","1994-10",10,1994,10,1,0,1,0,"facility",1
"B010","1994-11",11,1994,11,1,1,1,0,"facility",1
"B010","1994-12",12,1994,12,1,1,1,0,"facility",1
"B010","1995-01",13,1995,1,3,2,1,0,"facility",1
"B010","1995-02",14,1995,2,3,3,1,0,"facility",1
"B010","1995-03",15,1995,3,2,1,1,0,"facility",1
"B010","1995-04",16,1995,4,2,1,1,0,"facility",1
"B010","1995-05",17,1995,5,1,2,1,0,"facility",1
"B010","1995-06",18,1995,6,3,2,1,0,"facility",1
"B011","1994-01",1,1994,1,0,3,1,0,"facility",1
"B011","1994-02",2,1994,2,5,5,1,0,"facility",1
"B011","1994-03",3,1994,3,4,3,1,0,"facility",1
"B011","1994-04",4,1994,4,4,0,1,0,"facility",1
"B011","1994-05",5,1994,5,1,3,1,0,"facility",1
"B011","1994-06",6,1994,6,1,2,1,0,"facility",1
"B011","1994-07",7,1994,7,3,2,1,0,"facility",1
"B011","1994-08",8,1994,8,3,3,1,0,"facility",1
"B011","1994-09",9,1994,9,3,2,1,0,"facility",1
"B011","1994-10",10,1994,10,6,4,1,0,"facility",1
"B011","1994-11",11,1994,11,3,2,1,0,"facility",1
"B011","1994-12",12,1994,12,2,4,1,0,"facility",1
"B011","1995-01",13,1995,1,4,1,1,0,"facility",1
"B011","1995-02",14,1995,2,4,4,1,0,"facility",1
"B011","1995-03",15,1995,3,5,0,1,0,"facility",1
"B011","1995-04",16,1995,4,2,1,1,0,"facility",1
"B011","1995-05",17,1995,5,3,4,1,0,"facility",1
"B011","1995-06",18,1995,6,2,1,1,0,"facility",1
"B012","1994-01",1,1994,1,1,4,1,0,"facility",1
"B012","1994-02",2,1994,2,6,5,1,0,"facility",1
"B012","1994-03",3,1994,3,2,2,1,0,"facility",1
"B012","1994-04",4,1994,4,3,1,1,0,"facility",1
"B012","1994-05",5,1994,5,5,2,1,0,"facility",1
"B012","1994-06",6,1994,6,3,2,1,0,"facility",1
"B012","1994-07",7,1994,7,2,2,1,0,"facility",1
"B012","1994-08",8,1994,8,5,1,1,0,"facility",1
"B012","1994-09",9,1994,9,1,2,1,0,"facility",1
"B012","1994-10",10,1994,10,6,1,1,0,"facility",1
"B012","1994-11",11,1994,11,3,0,1,0,"facility",1
"B012","1994-12",12,1994,12,3,1,1,0,"facility",1
"B012","1995-01",13,1995,1,2,2,1,0,"facility",1
"B012","1995-02",14,1995,2,0,2,1,0,"facility",1
"B012","1995-03",15,1995,3,4,0,1,0,"facility",1
"B012","1995-04",16,1995,4,0,2,1,0,"facility",1
"B012","1995-05",17,1995,5,2,1,1,0,"facility",1
"B012","1995-06",18,1995,6,2,2,1,0,"facility",1
"B013","1994-01",1,1994,1,3,2,1,0,"facility",0
"B013","1994-02",2,1994,2,6,0,1,0,"facility",0
"B013","1994-03",3,1994,3,1,4,1,0,"facility",0
"B013","1994-04",4,1994,4,3,0,1,0,"facility",0
"B013","1994-05",5,1994,5,7,3,1,0,"facility",0
"B013","1994-06",6,1994,6,4,0,1,0,"facility",0
"B013","1994-07",7,1994,7,4,1,1,0,"facility",0
"B013","1994-08",8,1994,8,0,3,1,0,"facility",0
"B013","1994-09",9,1994,9,5,1,1,0,"facility",0
"B013","1994-10",10,1994,10,4,1,1,0,"facility",0
"B013","1994-11",11,1994,11,3,0,1,0,"facility",0
"B013","1994-12",12,1994,12,3,2,1,0,"facility",0
"B013","1995-01",13,1995,1,3,1,1,0,"facility",0
"B013","1995-02",14,1995,2,0,2,1,0,"facility",0
"B013","1995-03",15,1995,3,3,1,1,0,"facility",0
"B013","1995-04",16,1995,4,2,0,1,0,"facility",0
"B013","1995-05",17,1995,5,2,4,1,0,"facility",0
"B013","1995-06",18,1995,6,3,0,1,0,"facility",0
"B014","1994-01",1,1994,1,4,0,1,0,"facility",0
"B014","1994-02",2,1994,2,3,2,1,0,"facility",0
"B014","1994-03",3,1994,3,2,0,1,0,"facility",0
"B014","1994-04",4,1994,4,1,1,1,0,"facility",0
"B014","1994-05",5,1994,5,2,1,1,0,"facility",0
"B014","1994-06",6,1994,6,3,1,1,0,"facility",0
"B014","1994-07",7,1994,7,1,1,1,0,"facility",0
"B014","1994-08",8,1994,8,2,0,1,0,"facility",0
"B014","1994-09",9,1994,9,3,0,1,0,"facility",0
"B014","1994-10",10,1994,10,1,0,1,0,"facility",0
"B014","1994-11",11,1994,11,3,1,1,0,"facility",0
"B014","1994-12",12,1994,12,4,0,1,0,"facility",0
"B014","1995-01",13,1995,1,1,1,1,0,"facility",0
"B014","1995-02",14,1995,2,1,1,1,0,"facility",0
"B014","1995-03",15,1995,3,3,2,1,0,"facility",0
"B014","1995-04",16,1995,4,3,0,1,0,"facility",0
"B014","1995-05",17,1995,5,2,1,1,0,"facility",0
"B014","1995-06",18,1995,6,1,1,1,0,"facility",0
"B015","1994-01",1,1994,1,4,2,1,0,"facility",1
"B015","1994-02",2,1994,2,4,0,1,0,"facility",1
"B015","1994-03",3,1994,3,3,1,1,0,"facility",1
"B015","1994-04",4,1994,4,4,1,1,0,"facility",1
"B015","1994-05",5,1994,5,3,0,1,0,"facility",1
"B015","1994-06",6,1994,6,2,2,1,0,"facility",1
"B015","1994-07",7,1994,7,6,2,1,0,"facility",1
"B015","1994-08",8,1994,8,1,3,1,0,"facility",1
"B015","1994-09",9,1994,9,3,0,1,0,"facility",1
"B015","1994-10",10,1994,10,2,1,1,0,"facility",1
"B015","1994-11",11,1994,11,1,2,1,0,"facility",1
"B015","1994-12",12,1994,12,1,0,1,0,"facility",1
"B015","1995-01",13,1995,1,1,0,1,0,"facility",1
"B015","1995-02",14,1995,2,0,2,1,0,"facility",1
"B015","1995-03",15,1995,3,1,1,1,0,"facility",1
"B015","1995-04",16,1995,4,0,1,1,0,"facility",1
"B015","1995-05",17,1995,5,3,2,1,0,"facility",1
"B015","1995-06",18,1995,6,3,2,1,0,"facility",1
"B016","1994-01",1,1994,1,2,3,1,0,"facility",0
"B016","1994-02",2,1994,2,2,4,1,0,"facility",0
"B016","1994-03",3,1994,3,1,1,1,0,"facility",0
"B016","1994-04",4,1994,4,1,2,1,0,"facility",0
"B016","1994-05",5,1994,5,2,0,1,0,"facility",0
"B016","1994-06",6,1994,6,0,0,1,0,"facility",0
"B016","1994-07",7,1994,7,0,1,1,0,"facility",0
"B016","1994-08",8,1994,8,3,2,1,0,"facility",0
"B016","1994-09",9,1994,9,2,2,1,0,"facility",0
"B016","1994-10",10,1994,10,1,2,1,0,"facility",0
"B016","1994-11",11,1994,11,2,3,1,0,"facility",0
"B016","1994-12",12,1994,12,2,1,1,0,"facility",0
"B016","1995-01",13,1995,1,0,0,1,0,"facility",0
"B016","1995-02",14,1995,2,2,2,1,0,"facility",0
"B016","1995-03",15,1995,3,2,0,1,0,"facility",0
"B016","1995-04",16,1995,4,0,1,1,0,"facility",0
"B016","1995-05",17,1995,5,3,3,1,0,"facility",0
"B016","1995-06",18,1995,6,3,2,1,0,"facility",0
"B017","1994-01",1,1994,1,2,1,1,0,"facility",1
"B017","1994-02",2,1994,2,2,1,1,0,"facility",1
"B017","1994-03",3,1994,3,5,4,1,0,"facility",1
"B017","1994-04",4,1994,4,4,2,1,0,"facility",1
"B017","1994-05",5,1994,5,6,0,1,0,"facility",1
"B017","1994-06",6,1994,6,1,4,1,0,"facility",1
"B017","1994-07",7,1994,7,2,2,1,0,"facility",1
"B017","1994-08",8,1994,8,2,1,1,0,"facility",1
"B017","1994-09",9,1994,9,0,2,1,0,"facility",1
"B017","1994-10",10,1994,10,1,1,1,0,"facility",1
"B017","1994-11",11,1994,11,2,1,1,0,"facility",1
"B017","1994-12",12,1994,12,2,1,1,0,"facility",1
"B017","1995-01",13,1995,1,2,0,1,0,"facility",1
"B017","1995-02",14,1995,2,0,4,1,0,"facility",1
"B017","1995-03",15,1995,3,4,1,1,0,"facility",1
"B017","1995-04",16,1995,4,2,0,1,0,"facility",1
"B017","1995-05",17,1995,5,4,2,1,0,"facility",1
"B017","1995-06",18,1995,6,1,3,1,0,"facility",1
"B018","1994-01",1,1994,1,5,1,1,0,"facility",0
"B018","1994-02",2,1994,2,7,1,1,0,"facility",0
"B018","1994-03",3,1994,3,5,7,1,0,"facility",0
"B018","1994-04",4,1994,4,3,4,1,0,"facility",0
"B018","1994-05",5,1994,5,6,2,1,0,"facility",0
"B018","1994-06",6,1994,6,4,2,1,0,"facility",0
"B018","1994-07",7,1994,7,2,2,1,0,"facility",0
"B018","1994-08",8,1994,8,1,2,1,0,"facility",0
"B018","1994-09",9,1994,9,0,2,1,0,"facility",0
"B018","1994-10",10,1994,10,3,2,1,0,"facility",0
"B018","1994-11",11,1994,11,1,1,1,0,"facility",0
"B018","1994-12",12,1994,12,4,3,1,0,"facility",0
"B018","1995-01",13,1995,1,2,1,1,0,"facility",0
"B018","1995-02",14,1995,2,2,1,1,0,"facility",0
"B018","1995-03",15,1995,3,1,1,1,0,"facility",0
"B018","1995-04",16,1995,4,7,0,1,0,"facility",0
"B018","1995-05",17,1995,5,1,3,1,0,"facility",0
"B018","1995-06",18,1995,6,4,3,1,0,"facility",0
"B019","1994-01",1,1994,1,3,1,1,0,"facility",0
"B019","1994-02",2,1994,2,3,3,1,0,"facility",0
"B019","1994-03",3,1994,3,6,1,1,0,"facility",0
"B019","1994-04",4,1994,4,5,2,1,0,"facility",0
"B019","1994-05",5,1994,5,6,2,1,0,"facility",0
"B019","1994-06",6,1994,6,2,2,1,0,"facility",0
"B019","1994-07",7,1994,7,2,3,1,0,"facility",0
"B019","1994-08",8,1994,8,1,2,1,0,"facility",0
"B019","1994-09",9,1994,9,3,3,1,0,"facility",0
"B019","1994-10",10,1994,10,2,2,1,0,"facility",0
"B019","1994-11",11,1994,11,2,1,1,0,"facility",0
"B019","1994-12",12,1994,12,1,2,1,0,"facility",0
"B019","1995-01",13,1995,1,4,1,1,0,"facility",0
"B019","1995-02",14,1995,2,3,0,1,0,"facility",0
"B019","1995-03",15,1995,3,4,0,1,0,"facility",0
"B019","1995-04",16,1995,4,0,1,1,0,"facility",0
"B019","1995-05",17,1995,5,2,4,1,0,"facility",0
"B019","1995-06",18,1995,6,5,2,1,0,"facility",0
"B020","1994-01",1,1994,1,2,0,1,0,"facility",1
"B020","1994-02",2,1994,2,3,3,1,0,"facility",1
"B020","1994-03",3,1994,3,7,5,1,0,"facility",1
"B020","1994-04",4,1994,4,4,2,1,0,"facility",1
"B020","1994-05",5,1994,5,1,1,1,0,"facility",1
"B020","1994-06",6,1994,6,5,1,1,0,"facility",1
"B020","1994-07",7,1994,7,6,0,1,0,"facility",1
"B020","1994-08",8,1994,8,2,1,1,0,"facility",1
"B020","1994-09",9,1994,9,5,0,1,0,"facility",1
"B020","1994-10",10,1994,10,1,1,1,0,"facility",1
"B020","1994-11",11,1994,11,2,2,1,0,"facility",1
"B020","1994-12",12,1994,12,3,1,1,0,"facility",1
"B020","1995-01",13,1995,1,3,4,1,0,"facility",1
"B020","1995-02",14,1995,2,2,1,1,0,"facility",1
"B020","1995-03",15,1995,3,2,0,1,0,"facility",1
"B020","1995-04",16,1995,4,2,3,1,0,"facility",1
"B020","1995-05",17,1995,5,2,1,1,0,"facility",1
"B020","1995-06",18,1995,6,4,2,1,0,"facility",1
"B021","1994-01",1,1994,1,1,0,1,0,"facility",1
"B021","1994-02",2,1994,2,5,1,1,0,"facility",1
"B021","1994-03",3,1994,3,4,3,1,0,"facility",1
"B021","1994-04",4,1994,4,5,2,1,0,"facility",1
"B021","1994-05",5,1994,5,3,4,1,0,"facility",1
"B021","1994-06",6,1994,6,4,1,1,0,"facility",1
"B021","1994-07",7,1994,7,3,1,1,0,"facility",1
"B021","1994-08",8,1994,8,3,1,1,0,"facility",1
"B021","1994-09",9,1994,9,0,1,1,0,"facility",1
"B021","1994-10",10,1994,10,5,1,1,0,"facility",1
"B021","1994-11",11,1994,11,4,1,1,0,"facility",1
"B021","1994-12",12,1994,12,1,1,1,0,"facility",1
"B021","1995-01",13,1995,1,4,0,1,0,"facility",1
"B021","1995-02",14,1995,2,1,3,1,0,"facility",1
"B021","1995-03",15,1995,3,2,0,1,0,"facility",1
"B021","1995-04",16,1995,4,1,1,1,0,"facility",1
"B021","1995-05",17,1995,5,2,0,1,0,"facility",1
"B021","1995-06",18,1995,6,1,2,1,0,"facility",1
"B022","1994-01",1,1994,1,5,2,1,0,"facility",0
"B022","1994-02",2,1994,2,4,3,1,0,"facility",0
"B022","1994-03",3,1994,3,3,4,1,0,"facility",0
"B022","1994-04",4,1994,4,2,0,1,0,"facility",0
"B022","1994-05",5,1994,5,6,1,1,0,"facility",0
"B022","1994-06",6,1994,6,3,2,1,0,"facility",0
"B022","1994-07",7,1994,7,3,0,1,0,"facility",0
"B022","1994-08",8,1994,8,5,2,1,0,"facility",0
"B022","1994-09",9,1994,9,4,0,1,0,"facility",0
"B022","1994-10",10,1994,10,2,1,1,0,"facility",0
"B022","1994-11",11,1994,11,1,3,1,0,"facility",0
"B022","1994-12",12,1994,12,3,2,1,0,"facility",0
"B022","1995-01",13,1995,1,2,0,1,0,"facility",0
"B022","1995-02",14,1995,2,2,1,1,0,"facility",0
"B022","1995-03",15,1995,3,1,2,1,0,"facility",0
"B022","1995-04",16,1995,4,1,4,1,0,"facility",0
"B022","1995-05",17,1995,5,0,0,1,0,"facility",0
"B022","1995-06",18,1995,6,3,5,1,0,"facility",0
"B023","1994-01",1,1994,1,2,4,1,0,"facility",1
"B023","1994-02",2,1994,2,3,0,1,0,"facility",1
"B023","1994-03",3,1994,3,4,2,1,0,"facility",1
"B023","1994-04",4,1994,4,4,1,1,0,"facility",1
"B023","1994-05",5,1994,5,2,2,1,0,"facility",1
"B023","1994-06",6,1994,6,2,0,1,0,"facility",1
"B023","1994-07",7,1994,7,3,1,1,0,"facility",1
"B023","1994-08",8,1994,8,1,1,1,0,"facility",1
"B023","1994-09",9,1994,9,2,0,1,0,"facility",1
"B023","1994-10",10,1994,10,0,1,1,0,"facility",1
"B023","1994-11",11,1994,11,3,2,1,0,"facility",1
"B023","1994-12",12,1994,12,3,1,1,0,"facility",1
"B023","1995-01",13,1995,1,1,3,1,0,"facility",1
"B023","1995-02",14,1995,2,2,4,1,0,"facility",1
"B023","1995-03",15,1995,3,2,1,1,0,"facility",1
"B023","1995-04",16,1995,4,1,2,1,0,"facility",1
"B023","1995-05",17,1995,5,3,0,1,0,"facility",1
"B023","1995-06",18,1995,6,0,1,1,0,"facility",1
"B024","1994-01",1,1994,1,3,1,1,0,"facility",1
"B024","1994-02",2,1994,2,3,0,1,0,"facility",1
"B024","1994-03",3,1994,3,4,3,1,0,"facility",1
"B024","1994-04",4,1994,4,0,1,1,0,"facility",1
"B024","1994-05",5,1994,5,5,0,1,0,"facility",1
"B024","1994-06",6,1994,6,1,3,1,0,"facility",1
"B024","1994-07",7,1994,7,5,1,1,0,"facility",1
"B024","1994-08",8,1994,8,4,1,1,0,"facility",1
"B024","1994-09",9,1994,9,1,3,1,0,"facility",1
"B024","1994-10",10,1994,10,0,1,1,0,"facility",1
"B024","1994-11",11,1994,11,1,2,1,0,"facility",1
"B024","1994-12",12,1994,12,1,1,1,0,"facility",1
"B024","1995-01",13,1995,1,2,3,1,0,"facility",1
"B024","1995-02",14,1995,2,3,0,1,0,"facility",1
"B024","1995-03",15,1995,3,1,3,1,0,"facility",1
"B024","1995-04",16,1995,4,5,3,1,0,"facility",1
"B024","1995-05",17,1995,5,2,2,1,0,"facility",1
"B024","1995-06",18,1995,6,2,2,1,0,"facility",1
"B025","1994-01",1,1994,1,2,3,1,0,"facility",1
"B025","1994-02",2,1994,2,0,2,1,0,"facility",1
"B025","1994-03",3,1994,3,3,3,1,0,"facility",1
"B025","1994-04",4,1994,4,0,1,1,0,"facility",1
"B025","1994-05",5,1994,5,1,1,1,0,"facility",1
"B025","1994-06",6,1994,6,4,4,1,0,"facility",1
"B025","1994-07",7,1994,7,1,3,1,0,"facility",1
"B025","1994-08",8,1994,8,3,2,1,0,"facility",1
"B025","1994-09",9,1994,9,2,1,1,0,"facility",1
"B025","1994-10",10,1994,10,0,1,1,0,"facility",1
"B025","1994-11",11,1994,11,1,1,1,0,"facility",1
"B025","1994-12",12,1994,12,1,3,1,0,"facility",1
"B025","1995-01",13,1995,1,2,0,1,0,"facility",1
"B025","1995-02",14,1995,2,3,6,1,0,"facility",1
"B025","1995-03",15,1995,3,1,0,1,0,"facility",1
"B025","1995-04",16,1995,4,2,3,1,0,"facility",1
"B025","1995-05",17,1995,5,3,1,1,0,"facility",1
"B025","1995-06",18,1995,6,2,1,1,0,"facility",1
"B026","1994-01",1,1994,1,4,2,1,0,"facility",0
"B026","1994-02",2,1994,2,0,0,1,0,"facility",0
"B026","1994-03",3,1994,3,2,1,1,0,"facility",0
"B026","1994-04",4,1994,4,5,2,1,0,"facility",0
"B026","1994-05",5,1994,5,2,2,1,0,"facility",0
"B026","1994-06",6,1994,6,3,3,1,0,"facility",0
"B026","1994-07",7,1994,7,1,1,1,0,"facility",0
"B026","1994-08",8,1994,8,1,2,1,0,"facility",0
"B026","1994-09",9,1994,9,2,0,1,0,"facility",0
"B026","1994-10",10,1994,10,3,1,1,0,"facility",0
"B026","1994-11",11,1994,11,3,0,1,0,"facility",0
"B026","1994-12",12,1994,12,0,1,1,0,"facility",0
"B026","1995-01",13,1995,1,2,1,1,0,"facility",0
