"market_id","market_name","period","period_index","year","quarter","teen_birth_rate","mtv_rating_pre","unemployment_rate"
"DMA002","メディア市場02","2010 Q2",14,2010,2,38.883,6.06,7.1
"DMA002","メディア市場02","2010 Q3",15,2010,3,39.834,6.06,6.23
"DMA002","メディア市場02","2010 Q4",16,2010,4,39.424,6.06,6.78
"DMA002","メディア市場02","2011 Q1",17,2011,1,38.424,6.06,6.48
"DMA002","メディア市場02","2011 Q2",18,2011,2,39.459,6.06,6.76
"DMA002","メディア市場02","2011 Q3",19,2011,3,39.529,6.06,6.69
"DMA002","メディア市場02","2011 Q4",20,2011,4,37.955,6.06,7.05
"DMA003","メディア市場03","2007 Q1",1,2007,1,43.16,9.48,6.03
"DMA003","メディア市場03","2007 Q2",2,2007,2,43.575,9.48,5.33
"DMA003","メディア市場03","2007 Q3",3,2007,3,43.531,9.48,5.82
"DMA003","メディア市場03","2007 Q4",4,2007,4,43.699,9.48,6.61
"DMA003","メディア市場03","2008 Q1",5,2008,1,43.081,9.48,5.95
"DMA003","メディア市場03","2008 Q2",6,2008,2,42.331,9.48,6.01
"DMA003","メディア市場03","2008 Q3",7,2008,3,41.523,9.48,6.08
"DMA003","メディア市場03","2008 Q4",8,2008,4,44.248,9.48,6.19
"DMA003","メディア市場03","2009 Q1",9,2009,1,42.645,9.48,6.59
"DMA003","メディア市場03","2009 Q2",10,2009,2,41.183,9.48,6.05
"DMA003","メディア市場03","2009 Q3",11,2009,3,42.101,9.48,6.88
"DMA003","メディア市場03","2009 Q4",12,2009,4,42.111,9.48,6.66
"DMA003","メディア市場03","2010 Q1",13,2010,1,40.956,9.48,6.36
"DMA003","メディア市場03","2010 Q2",14,2010,2,40.48,9.48,6.62
"DMA003","メディア市場03","2010 Q3",15,2010,3,40.918,9.48,5.85
"DMA003","メディア市場03","2010 Q4",16,2010,4,41.711,9.48,6.41
"DMA003","メディア市場03","2011 Q1",17,2011,1,41.761,9.48,6.56
"DMA003","メディア市場03","2011 Q2",18,2011,2,39.765,9.48,7.46
"DMA003","メディア市場03","2011 Q3",19,2011,3,40.172,9.48,6.75
"DMA003","メディア市場03","2011 Q4",20,2011,4,41.1,9.48,6.76
"DMA004","メディア市場04","2007 Q1",1,2007,1,42.979,6.93,6.42
"DMA004","メディア市場04","2007 Q2",2,2007,2,40.423,6.93,6.33
"DMA004","メディア市場04","2007 Q3",3,2007,3,40.511,6.93,5.64
"DMA004","メディア市場04","2007 Q4",4,2007,4,39.202,6.93,6.27
"DMA004","メディア市場04","2008 Q1",5,2008,1,41.982,6.93,6.14
"DMA004","メディア市場04","2008 Q2",6,2008,2,41.714,6.93,5.78
"DMA004","メディア市場04","2008 Q3",7,2008,3,40.889,6.93,6.35
"DMA004","メディア市場04","2008 Q4",8,2008,4,39.123,6.93,6.14
"DMA004","メディア市場04","2009 Q1",9,2009,1,40.852,6.93,6.12
"DMA004","メディア市場04","2009 Q2",10,2009,2,39.102,6.93,6.25
"DMA004","メディア市場04","2009 Q3",11,2009,3,39.971,6.93,6.57
"DMA004","メディア市場04","2009 Q4",12,2009,4,39.146,6.93,6.83
"DMA004","メディア市場04","2010 Q1",13,2010,1,40.858,6.93,6.49
"DMA004","メディア市場04","2010 Q2",14,2010,2,39.657,6.93,6.61
"DMA004","メディア市場04","2010 Q3",15,2010,3,41.798,6.93,6.15
"DMA004","メディア市場04","2010 Q4",16,2010,4,39.998,6.93,6.4
"DMA004","メディア市場04","2011 Q1",17,2011,1,39.966,6.93,7.09
"DMA004","メディア市場04","2011 Q2",18,2011,2,38.893,6.93,6.67
"DMA004","メディア市場04","2011 Q3",19,2011,3,38.245,6.93,6.22
"DMA004","メディア市場04","2011 Q4",20,2011,4,40.7,6.93,7.37
"DMA005","メディア市場05","2007 Q1",1,2007,1,43.251,16.63,6.22
"DMA005","メディア市場05","2007 Q2",2,2007,2,40.622,16.63,6.31
"DMA005","メディア市場05","2007 Q3",3,2007,3,42.638,16.63,6.32
"DMA005","メディア市場05","2007 Q4",4,2007,4,42.059,16.63,6.2
"DMA005","メディア市場05","2008 Q1",5,2008,1,41.943,16.63,6.19
"DMA005","メディア市場05","2008 Q2",6,2008,2,41.64,16.63,6.39
"DMA005","メディア市場05","2008 Q3",7,2008,3,39.745,16.63,5.94
"DMA005","メディア市場05","2008 Q4",8,2008,4,39.067,16.63,6.24
"DMA005","メディア市場05","2009 Q1",9,2009,1,40.205,16.63,5.86
"DMA005","メディア市場05","2009 Q2",10,2009,2,41.746,16.63,6.87
"DMA005","メディア市場05","2009 Q3",11,2009,3,39.094,16.63,6.64
"DMA005","メディア市場05","2009 Q4",12,2009,4,38.933,16.63,6.65
"DMA005","メディア市場05","2010 Q1",13,2010,1,38.405,16.63,6.82
"DMA005","メディア市場05","2010 Q2",14,2010,2,39.687,16.63,6.65
"DMA005","メディア市場05","2010 Q3",15,2010,3,39.58,16.63,7.33
"DMA005","メディア市場05","2010 Q4",16,2010,4,36.622,16.63,6.51
"DMA005","メディア市場05","2011 Q1",17,2011,1,38.704,16.63,7.03
"DMA005","メディア市場05","2011 Q2",18,2011,2,37.602,16.63,7.45
"DMA005","メディア市場05","2011 Q3",19,2011,3,36.75,16.63,7.71
"DMA005","メディア市場05","2011 Q4",20,2011,4,35.556,16.63,7.01
"DMA006","メディア市場06","2007 Q1",1,2007,1,37.356,12.12,6.02
"DMA006","メディア市場06","2007 Q2",2,2007,2,39.328,12.12,5.66
"DMA006","メディア市場06","2007 Q3",3,2007,3,36.622,12.12,6
"DMA006","メディア市場06","2007 Q4",4,2007,4,39.556,12.12,6.12
"DMA006","メディア市場06","2008 Q1",5,2008,1,37.266,12.12,6.3
"DMA006","メディア市場06","2008 Q2",6,2008,2,37.776,12.12,6.67
"DMA006","メディア市場06","2008 Q3",7,2008,3,38.137,12.12,6.2
"DMA006","メディア市場06","2008 Q4",8,2008,4,38.415,12.12,6.28
"DMA006","メディア市場06","2009 Q1",9,2009,1,38.208,12.12,6.14
"DMA006","メディア市場06","2009 Q2",10,2009,2,37.082,12.12,6.64
"DMA006","メディア市場06","2009 Q3",11,2009,3,37.494,12.12,6.51
"DMA006","メディア市場06","2009 Q4",12,2009,4,36.464,12.12,6.41
"DMA006","メディア市場06","2010 Q1",13,2010,1,36.633,12.12,6.57
"DMA006","メディア市場06","2010 Q2",14,2010,2,36.849,12.12,7.02
"DMA006","メディア市場06","2010 Q3",15,2010,3,36.145,12.12,6.32
"DMA006","メディア市場06","2010 Q4",16,2010,4,37.038,12.12,7.07
"DMA006","メディア市場06","2011 Q1",17,2011,1,37.612,12.12,6.6
"DMA006","メディア市場06","2011 Q2",18,2011,2,35.178,12.12,7.08
"DMA006","メディア市場06","2011 Q3",19,2011,3,36.738,12.12,6.32
"DMA006","メディア市場06","2011 Q4",20,2011,4,35.895,12.12,7.05
"DMA007","メディア市場07","2007 Q1",1,2007,1,42.002,10.16,5.91
"DMA007","メディア市場07","2007 Q2",2,2007,2,42.252,10.16,5.59
"DMA007","メディア市場07","2007 Q3",3,2007,3,41.689,10.16,5.46
"DMA007","メディア市場07","2007 Q4",4,2007,4,41.926,10.16,5.94
"DMA007","メディア市場07","2008 Q1",5,2008,1,41.269,10.16,6.43
"DMA007","メディア市場07","2008 Q2",6,2008,2,40.218,10.16,6.31
"DMA007","メディア市場07","2008 Q3",7,2008,3,40.012,10.16,5.85
"DMA007","メディア市場07","2008 Q4",8,2008,4,40.975,10.16,7.33
"DMA007","メディア市場07","2009 Q1",9,2009,1,40.938,10.16,5.81
"DMA007","メディア市場07","2009 Q2",10,2009,2,38.523,10.16,6.2
"DMA007","メディア市場07","2009 Q3",11,2009,3,39.178,10.16,6.32
"DMA007","メディア市場07","2009 Q4",12,2009,4,40.727,10.16,6.22
"DMA007","メディア市場07","2010 Q1",13,2010,1,40.952,10.16,6.63
"DMA007","メディア市場07","2010 Q2",14,2010,2,37.792,10.16,6.75
"DMA007","メディア市場07","2010 Q3",15,2010,3,39.732,10.16,6.75
"DMA007","メディア市場07","2010 Q4",16,2010,4,39.331,10.16,6.95
"DMA007","メディア市場07","2011 Q1",17,2011,1,39.917,10.16,6.49
"DMA007","メディア市場07","2011 Q2",18,2011,2,40.26,10.16,6.63
"DMA007","メディア市場07","2011 Q3",19,2011,3,38.594,10.16,6.51
"DMA007","メディア市場07","2011 Q4",20,2011,4,37.907,10.16,6.77
"DMA008","メディア市場08","2007 Q1",1,2007,1,41.856,22.02,6.3
"DMA008","メディア市場08","2007 Q2",2,2007,2,40.328,22.02,6.45
"DMA008","メディア市場08","2007 Q3",3,2007,3,40.662,22.02,6.44
"DMA008","メディア市場08","2007 Q4",4,2007,4,40,22.02,6.56
"DMA008","メディア市場08","2008 Q1",5,2008,1,39.193,22.02,6.36
"DMA008","メディア市場08","2008 Q2",6,2008,2,38.929,22.02,6.67
"DMA008","メディア市場08","2008 Q3",7,2008,3,38.442,22.02,6.74
"DMA008","メディア市場08","2008 Q4",8,2008,4,40.167,22.02,7.1
"DMA008","メディア市場08","2009 Q1",9,2009,1,39.044,22.02,6.23
"DMA008","メディア市場08","2009 Q2",10,2009,2,38.784,22.02,6.67
"DMA008","メディア市場08","2009 Q3",11,2009,3,38.267,22.02,6.73
"DMA008","メディア市場08","2009 Q4",12,2009,4,38.845,22.02,6.55
"DMA008","メディア市場08","2010 Q1",13,2010,1,37.174,22.02,7.25
"DMA008","メディア市場08","2010 Q2",14,2010,2,37.013,22.02,7.44
"DMA008","メディア市場08","2010 Q3",15,2010,3,35.946,22.02,7.27
"DMA008","メディア市場08","2010 Q4",16,2010,4,37.43,22.02,7.3
"DMA008","メディア市場08","2011 Q1",17,2011,1,36.91,22.02,6.33
"DMA008","メディア市場08","2011 Q2",18,2011,2,34.226,22.02,6.87
"DMA008","メディア市場08","2011 Q3",19,2011,3,34.297,22.02,7.24
"DMA008","メディア市場08","2011 Q4",20,2011,4,35.142,22.02,7.57
"DMA009","メディア市場09","2007 Q1",1,2007,1,37.73,7.34,5.57
"DMA009","メディア市場09","2007 Q2",2,2007,2,37.309,7.34,6.24
"DMA009","メディア市場09","2007 Q3",3,2007,3,35.458,7.34,5.36
"DMA009","メディア市場09","2007 Q4",4,2007,4,35.973,7.34,5.75
"DMA009","メディア市場09","2008 Q1",5,2008,1,39.13,7.34,6.08
"DMA009","メディア市場09","2008 Q2",6,2008,2,38.309,7.34,5.99
"DMA009","メディア市場09","2008 Q3",7,2008,3,35.091,7.34,6.4
"DMA009","メディア市場09","2008 Q4",8,2008,4,36.59,7.34,6.07
"DMA009","メディア市場09","2009 Q1",9,2009,1,35.944,7.34,6.43
"DMA009","メディア市場09","2009 Q2",10,2009,2,34.18,7.34,7.01
"DMA009","メディア市場09","2009 Q3",11,2009,3,34.24,7.34,6.18
"DMA009","メディア市場09","2009 Q4",12,2009,4,36.163,7.34,7.13
"DMA009","メディア市場09","2010 Q1",13,2010,1,35.944,7.34,6.18
"DMA009","メディア市場09","2010 Q2",14,2010,2,36.03,7.34,6.54
"DMA009","メディア市場09","2010 Q3",15,2010,3,36.206,7.34,6.83
"DMA009","メディア市場09","2010 Q4",16,2010,4,36.771,7.34,6.15
"DMA009","メディア市場09","2011 Q1",17,2011,1,36.055,7.34,6.54
"DMA009","メディア市場09","2011 Q2",18,2011,2,33.823,7.34,7.7
"DMA009","メディア市場09","2011 Q3",19,2011,3,35.537,7.34,6.91
"DMA009","メディア市場09","2011 Q4",20,2011,4,36.012,7.34,6.76
"DMA010","メディア市場10","2007 Q1",1,2007,1,41.41,19.27,6.54
"DMA010","メディア市場10","2007 Q2",2,2007,2,41.36,19.27,6.76
"DMA010","メディア市場10","2007 Q3",3,2007,3,41.568,19.27,6.46
"DMA010","メディア市場10","2007 Q4",4,2007,4,41.806,19.27,6.29
"DMA010","メディア市場10","2008 Q1",5,2008,1,40.131,19.27,6.61
"DMA010","メディア市場10","2008 Q2",6,2008,2,41.356,19.27,7.21
"DMA010","メディア市場10","2008 Q3",7,2008,3,39.329,19.27,6.88
"DMA010","メディア市場10","2008 Q4",8,2008,4,42.685,19.27,6.84
"DMA010","メディア市場10","2009 Q1",9,2009,1,40.785,19.27,7.04
"DMA010","メディア市場10","2009 Q2",10,2009,2,39.119,19.27,6.75
"DMA010","メディア市場10","2009 Q3",11,2009,3,40.045,19.27,6.84
"DMA010","メディア市場10","2009 Q4",12,2009,4,39.943,19.27,6.98
"DMA010","メディア市場10","2010 Q1",13,2010,1,37.738,19.27,6.72
"DMA010","メディア市場10","2010 Q2",14,2010,2,38.84,19.27,7.02
"DMA010","メディア市場10","2010 Q3",15,2010,3,38.164,19.27,7.05
"DMA010","メディア市場10","2010 Q4",16,2010,4,37.807,19.27,6.2
"DMA010","メディア市場10","2011 Q1",17,2011,1,39.63,19.27,6.51
"DMA010","メディア市場10","2011 Q2",18,2011,2,36.204,19.27,6.79
"DMA010","メディア市場10","2011 Q3",19,2011,3,36.233,19.27,6.88
"DMA010","メディア市場10","2011 Q4",20,2011,4,34.811,19.27,7.52
"DMA011","メディア市場11","2007 Q1",1,2007,1,41.605,18.03,5.67
"DMA011","メディア市場11","2007 Q2",2,2007,2,41.065,18.03,6.42
"DMA011","メディア市場11","2007 Q3",3,2007,3,39.236,18.03,6.29
"DMA011","メディア市場11","2007 Q4",4,2007,4,40.318,18.03,6.52
"DMA011","メディア市場11","2008 Q1",5,2008,1,42.093,18.03,6.55
"DMA011","メディア市場11","2008 Q2",6,2008,2,39.425,18.03,6.48
"DMA011","メディア市場11","2008 Q3",7,2008,3,39.917,18.03,6.98
"DMA011","メディア市場11","2008 Q4",8,2008,4,39.816,18.03,6.56
"DMA011","メディア市場11","2009 Q1",9,2009,1,41.018,18.03,6.57
"DMA011","メディア市場11","2009 Q2",10,2009,2,39.532,18.03,6.58
"DMA011","メディア市場11","2009 Q3",11,2009,3,37.692,18.03,6.89
"DMA011","メディア市場11","2009 Q4",12,2009,4,37.432,18.03,7.43
"DMA011","メディア市場11","2010 Q1",13,2010,1,38.944,18.03,6.77
"DMA011","メディア市場11","2010 Q2",14,2010,2,39.495,18.03,6.95
"DMA011","メディア市場11","2010 Q3",15,2010,3,36.885,18.03,7.12
"DMA011","メディア市場11","2010 Q4",16,2010,4,35.7,18.03,6.76
"DMA011","メディア市場11","2011 Q1",17,2011,1,38.248,18.03,6.75
"DMA011","メディア市場11","2011 Q2",18,2011,2,38.168,18.03,7.42
"DMA011","メディア市場11","2011 Q3",19,2011,3,35.419,18.03,6.71
"DMA011","メディア市場11","2011 Q4",20,2011,4,37.191,18.03,7.61
"DMA012","メディア市場12","2007 Q1",1,2007,1,43.641,12.16,5.58
"DMA012","メディア市場12","2007 Q2",2,2007,2,43.676,12.16,5.94
"DMA012","メディア市場12","2007 Q3",3,2007,3,43.807,12.16,6.54
"DMA012","メディア市場12","2007 Q4",4,2007,4,43.16,12.16,5.84
"DMA012","メディア市場12","2008 Q1",5,2008,1,44.529,12.16,5.97
"DMA012","メディア市場12","2008 Q2",6,2008,2,42.464,12.16,5.34
"DMA012","メディア市場12","2008 Q3",7,2008,3,42.07,12.16,5.85
"DMA012","メディア市場12","2008 Q4",8,2008,4,42.934,12.16,5.66
"DMA012","メディア市場12","2009 Q1",9,2009,1,43.189,12.16,5.67
"DMA012","メディア市場12","2009 Q2",10,2009,2,42.757,12.16,6.66
"DMA012","メディア市場12","2009 Q3",11,2009,3,41.247,12.16,6.73
"DMA012","メディア市場12","2009 Q4",12,2009,4,42.311,12.16,6.39
"DMA012","メディア市場12","2010 Q1",13,2010,1,41.412,12.16,5.88
"DMA012","メディア市場12","2010 Q2",14,2010,2,40.829,12.16,7.27
"DMA012","メディア市場12","2010 Q3",15,2010,3,41.447,12.16,7.05
"DMA012","メディア市場12","2010 Q4",16,2010,4,42.359,12.16,7.1
"DMA012","メディア市場12","2011 Q1",17,2011,1,41,12.16,6.83
"DMA012","メディア市場12","2011 Q2",18,2011,2,41.015,12.16,7.08
"DMA012","メディア市場12","2011 Q3",19,2011,3,41.037,12.16,7.3
"DMA012","メディア市場12","2011 Q4",20,2011,4,41.494,12.16,7.42
"DMA013","メディア市場13","2007 Q1",1,2007,1,42.502,15.41,6.39
"DMA013","メディア市場13","2007 Q2",2,2007,2,42.266,15.41,5.49
"DMA013","メディア市場13","2007 Q3",3,2007,3,39.67,15.41,5.97
"DMA013","メディア市場13","2007 Q4",4,2007,4,40.852,15.41,6.8
"DMA013","メディア市場13","2008 Q1",5,2008,1,41.266,15.41,6.36
"DMA013","メディア市場13","2008 Q2",6,2008,2,42.21,15.41,6.44
"DMA013","メディア市場13","2008 Q3",7,2008,3,40.08,15.41,6.76
"DMA013","メディア市場13","2008 Q4",8,2008,4,40.161,15.41,6.44
"DMA013","メディア市場13","2009 Q1",9,2009,1,41.148,15.41,6.73
"DMA013","メディア市場13","2009 Q2",10,2009,2,41.928,15.41,6.72
"DMA013","メディア市場13","2009 Q3",11,2009,3,38.366,15.41,6.62
"DMA013","メディア市場13","2009 Q4",12,2009,4,39.159,15.41,6.5
"DMA013","メディア市場13","2010 Q1",13,2010,1,38.823,15.41,7.1
"DMA013","メディア市場13","2010 Q2",14,2010,2,39.152,15.41,6.71
"DMA013","メディア市場13","2010 Q3",15,2010,3,39.542,15.41,7.05
"DMA013","メディア市場13","2010 Q4",16,2010,4,37.96,15.41,7.23
"DMA013","メディア市場13","2011 Q1",17,2011,1,37.19,15.41,7.92
"DMA013","メディア市場13","2011 Q2",18,2011,2,39.146,15.41,7.09
"DMA013","メディア市場13","2011 Q3",19,2011,3,38.097,15.41,7.4
"DMA013","メディア市場13","2011 Q4",20,2011,4,38.91,15.41,7.6
"DMA014","メディア市場14","2007 Q1",1,2007,1,43.907,20.48,6.26
"DMA014","メディア市場14","2007 Q2",2,2007,2,44.513,20.48,6.23
"DMA014","メディア市場14","2007 Q3",3,2007,3,44.696,20.48,6.07
"DMA014","メディア市場14","2007 Q4",4,2007,4,46.24,20.48,6.76
"DMA014","メディア市場14","2008 Q1",5,2008,1,44.997,20.48,6.41
"DMA014","メディア市場14","2008 Q2",6,2008,2,44.884,20.48,6.57
"DMA014","メディア市場14","2008 Q3",7,2008,3,43.12,20.48,6.78
"DMA014","メディア市場14","2008 Q4",8,2008,4,44.509,20.48,6.74
"DMA014","メディア市場14","2009 Q1",9,2009,1,44.292,20.48,6.43
"DMA014","メディア市場14","2009 Q2",10,2009,2,43.144,20.48,7.21
"DMA014","メディア市場14","2009 Q3",11,2009,3,42.227,20.48,6.65
"DMA014","メディア市場14","2009 Q4",12,2009,4,44.148,20.48,7
"DMA014","メディア市場14","2010 Q1",13,2010,1,42.63,20.48,7.01
"DMA014","メディア市場14","2010 Q2",14,2010,2,40.918,20.48,7.04
"DMA014","メディア市場14","2010 Q3",15,2010,3,39.48,20.48,6.54
"DMA014","メディア市場14","2010 Q4",16,2010,4,40.796,20.48,7.84
"DMA014","メディア市場14","2011 Q1",17,2011,1,39.972,20.48,6.58
"DMA014","メディア市場14","2011 Q2",18,2011,2,40.342,20.48,7.93
"DMA014","メディア市場14","2011 Q3",19,2011,3,38.707,20.48,7.51
"DMA014","メディア市場14","2011 Q4",20,2011,4,39.741,20.48,6.21
"DMA015","メディア市場15","2007 Q1",1,2007,1,42.784,11.31,5.39
"DMA015","メディア市場15","2007 Q2",2,2007,2,42.807,11.31,6.54
"DMA015","メディア市場15","2007 Q3",3,2007,3,43.725,11.31,5.53
"DMA015","メディア市場15","2007 Q4",4,2007,4,43.261,11.31,6.24
"DMA015","メディア市場15","2008 Q1",5,2008,1,42.747,11.31,5.98
"DMA015","メディア市場15","2008 Q2",6,2008,2,41.874,11.31,5.94
"DMA015","メディア市場15","2008 Q3",7,2008,3,43.418,11.31,6.38
"DMA015","メディア市場15","2008 Q4",8,2008,4,41.886,11.31,5.72
"DMA015","メディア市場15","2009 Q1",9,2009,1,42.755,11.31,6.51
"DMA015","メディア市場15","2009 Q2",10,2009,2,41.961,11.31,5.9
"DMA015","メディア市場15","2009 Q3",11,2009,3,40.623,11.31,6.13
"DMA015","メディア市場15","2009 Q4",12,2009,4,42.939,11.31,6.54
"DMA015","メディア市場15","2010 Q1",13,2010,1,43.17,11.31,6.7
"DMA015","メディア市場15","2010 Q2",14,2010,2,39.945,11.31,7.14
"DMA015","メディア市場15","2010 Q3",15,2010,3,40.3,11.31,6.72
"DMA015","メディア市場15","2010 Q4",16,2010,4,41.795,11.31,7.13
"DMA015","メディア市場15","2011 Q1",17,2011,1,41.235,11.31,6.86
"DMA015","メディア市場15","2011 Q2",18,2011,2,39.832,11.31,6.78
"DMA015","メディア市場15","2011 Q3",19,2011,3,40.49,11.31,6.15
"DMA015","メディア市場15","2011 Q4",20,2011,4,40.214,11.31,6.71
"DMA016","メディア市場16","2007 Q1",1,2007,1,39.969,18.6,6.26
"DMA016","メディア市場16","2007 Q2",2,2007,2,39.212,18.6,5.59
"DMA016","メディア市場16","2007 Q3",3,2007,3,38.671,18.6,6.8
"DMA016","メディア市場16","2007 Q4",4,2007,4,39.04,18.6,5.87
"DMA016","メディア市場16","2008 Q1",5,2008,1,38.708,18.6,6.7
"DMA016","メディア市場16","2008 Q2",6,2008,2,38.541,18.6,6.05
"DMA016","メディア市場16","2008 Q3",7,2008,3,38.632,18.6,6.48
"DMA016","メディア市場16","2008 Q4",8,2008,4,38.721,18.6,6.46
"DMA016","メディア市場16","2009 Q1",9,2009,1,39.564,18.6,7.07
"DMA016","メディア市場16","2009 Q2",10,2009,2,40.265,18.6,6.63
"DMA016","メディア市場16","2009 Q3",11,2009,3,37.622,18.6,6.81
"DMA016","メディア市場16","2009 Q4",12,2009,4,36.911,18.6,7.07
"DMA016","メディア市場16","2010 Q1",13,2010,1,38.146,18.6,6.48
"DMA016","メディア市場16","2010 Q2",14,2010,2,37.159,18.6,6.5
"DMA016","メディア市場16","2010 Q3",15,2010,3,34.653,18.6,7.06
"DMA016","メディア市場16","2010 Q4",16,2010,4,37.072,18.6,7.35
"DMA016","メディア市場16","2011 Q1",17,2011,1,36.039,18.6,7.46
"DMA016","メディア市場16","2011 Q2",18,2011,2,35.321,18.6,6.49
"DMA016","メディア市場16","2011 Q3",19,2011,3,35.242,18.6,7.29
"DMA016","メディア市場16","2011 Q4",20,2011,4,34.95,18.6,7.24
"DMA017","メディア市場17","2007 Q1",1,2007,1,40.536,13.34,6.33
"DMA017","メディア市場17","2007 Q2",2,2007,2,39.702,13.34,5.89
"DMA017","メディア市場17","2007 Q3",3,2007,3,39.668,13.34,5.58
"DMA017","メディア市場17","2007 Q4",4,2007,4,40.893,13.34,6.41
"DMA017","メディア市場17","2008 Q1",5,2008,1,39.131,13.34,6.48
"DMA017","メディア市場17","2008 Q2",6,2008,2,39.031,13.34,6.61
"DMA017","メディア市場17","2008 Q3",7,2008,3,37.974,13.34,6.33
"DMA017","メディア市場17","2008 Q4",8,2008,4,39.942,13.34,6.23
"DMA017","メディア市場17","2009 Q1",9,2009,1,39.807,13.34,6.05
"DMA017","メディア市場17","2009 Q2",10,2009,2,39.393,13.34,6.82
"DMA017","メディア市場17","2009 Q3",11,2009,3,36.984,13.34,6.75
"DMA017","メディア市場17","2009 Q4",12,2009,4,38.316,13.34,6.9
"DMA017","メディア市場17","2010 Q1",13,2010,1,38.009,13.34,7.41
"DMA017","メディア市場17","2010 Q2",14,2010,2,37.092,13.34,6.75
"DMA017","メディア市場17","2010 Q3",15,2010,3,36.527,13.34,7.26
"DMA017","メディア市場17","2010 Q4",16,2010,4,37.726,13.34,7.2
"DMA017","メディア市場17","2011 Q1",17,2011,1,36.854,13.34,7.11
"DMA017","メディア市場17","2011 Q2",18,2011,2,37.403,13.34,7.19
"DMA017","メディア市場17","2011 Q3",19,2011,3,35.399,13.34,7.17
"DMA017","メディア市場17","2011 Q4",20,2011,4,35.998,13.34,7.22
"DMA018","メディア市場18","2007 Q1",1,2007,1,44.78,17.3,6.73
"DMA018","メディア市場18","2007 Q2",2,2007,2,43.263,17.3,6.61
"DMA018","メディア市場18","2007 Q3",3,2007,3,41.659,17.3,6.05
"DMA018","メディア市場18","2007 Q4",4,2007,4,44.594,17.3,5.83
"DMA018","メディア市場18","2008 Q1",5,2008,1,42.934,17.3,5.49
"DMA018","メディア市場18","2008 Q2",6,2008,2,40.475,17.3,6.41
"DMA018","メディア市場18","2008 Q3",7,2008,3,40.133,17.3,6.78
"DMA018","メディア市場18","2008 Q4",8,2008,4,44.064,17.3,6.26
"DMA018","メディア市場18","2009 Q1",9,2009,1,43.964,17.3,6.42
"DMA018","メディア市場18","2009 Q2",10,2009,2,42.207,17.3,5.98
"DMA018","メディア市場18","2009 Q3",11,2009,3,41.706,17.3,7.11
"DMA018","メディア市場18","2009 Q4",12,2009,4,42.171,17.3,7.18
"DMA018","メディア市場18","2010 Q1",13,2010,1,40.781,17.3,7.06
"DMA018","メディア市場18","2010 Q2",14,2010,2,40.624,17.3,7.65
"DMA018","メディア市場18","2010 Q3",15,2010,3,39.358,17.3,6.58
"DMA018","メディア市場18","2010 Q4",16,2010,4,39.02,17.3,7.05
